start	end	text
276340	284160	Al alboritmo le da exactamente igual si la página filósofo urbano la maneja un académico brillante o un bot.
284160	285840	Mientras genere clics.
286320	289220	Esa es la única pregunta que se hace el sistema.
289860	291260	Esto genera clics.
292060	293940	La gente se detiene a verlo.
294640	297320	Provoca comentarios, aunque sean de odio.
298020	303120	La identidad, el significado, la verdad, todo eso es secundario.
303860	305160	O sea, la página es solo un...
305160	309660	Un recipiente intercambiable para el contenido que mejor funcione.
310040	313880	Y eso, inevitablemente, tritura el significado.
314840	316200	Espera, para un momento.
316760	320840	Hay un concepto en las fuentes que me hizo decir, claro, es eso.
321440	323020	La trampa del tutorial.
323800	325140	Uf, esa es buenísima.
325140	328400	Suena a que el problema empieza desde el segundo uno.
328720	330840	Desde que te das de alta en la plataforma.
331220	332860	¿A qué se refieren con eso?
333040	335220	Es que es una inversión total de cómo aprendemos.
335820	340420	Cuando te unes a estas plataformas, el tutorial te dice, conviértete en creador.
340860	343280	Eligue tu nombre, tu categoría, tu arroba.
343640	345600	Te obliga a nombrar la aspiración.
346080	347120	Antes de hacer nada.
347300	350340	Antes de haber hecho absolutamente nada para merecerla.
350840	353200	La identidad va primero que la sustancia.
353200	355740	Te dan el trofeo antes de correr la carrera.
356480	356960	Precisamente.
357420	360160	Te invitan a simular que ya llegaste a la meta.
360620	365060	Y claro, cuando te das cuenta de que ser un chef en casa de verdad implica quemarse,
365260	366480	lavar platos por horas.
366700	368460	Que la comida no siempre salga bien.
368660	372340	Y que el algoritmo ni te pele, pues el castillo de Naipé se cae.
372940	376660	La página se queda ahí como un monumento a una promesa rota.
377080	380920	Una cosa ontológicamente incompleta, como dicen las fuentes.
380920	383040	Ahora entiendo perfecto.
383200	388260	Siempre pensé que esas páginas vacías eran culpa de la gente que se rendía fácil.
388720	389720	Todos lo pensamos.
390280	394920	Pero lo que estás diciendo es que la plataforma misma, con su tutorial,
395380	397820	te está poniendo una trampa para que fracases.
398440	399700	Nunca lo había visto así.
400160	401740	El diseño te empuja a eso.
402200	404760	Y para que no parezca que es pura teoría,
405360	409120	las fuentes dan ejemplos de tutoriales que sí funcionan,
409440	411140	porque hacen justo lo contrario.
411140	414400	Mencionan a Veeam, el editor de texto.
414860	417580	Sí, el tutorial de Veeam es un caso de estudio brutal.
418100	421160	No empieza pidiéndote que te declares programador nivel Dios.
421720	422960	No, para nada.
423440	426600	Al contrario, te encierra en el programa y te dice,
427160	429560	a ver, genio, aprende a salir de aquí.
429560	435920	Te obliga a ejecutar comandos, a hacer cosas concretas y funcionales para poder avanzar.
436580	438660	La identidad te la ganas.
439020	442060	La identidad de usuario de Veeam no te la regalan.
442540	447080	Te la ganas a sangre, sudor y dos puntos Q, enter.
447780	449840	Emerge de la capacidad que demuestras.
449840	454460	Recuerdo perfectamente el de Windows 3.1.
454860	459920	Mi papá acababa de comprar la computadora y yo no entendía que era un mouse.
460320	460680	Claro.
461320	463700	Nadie me explicó arrastrar y soltar.
464220	466100	Pero el sistema traía el juego de solitario.
467100	471980	Después de perder como 50 partidas, moviendo cartas de un lado a otro,
472320	474100	ya era una experta con el mouse.
474100	476160	Te enseñó sin darte una clase.
476520	477080	Exacto.
477520	482420	El juego me enseñó a usar la máquina sin que me diera cuenta de que estaba aprendiendo.
482860	483620	Es brillante.
483980	484920	La lección es esa.
485520	491200	Los sistemas que construyen competencia real obligan al devenir, en lugar de simular la llegada.
491840	495580	Te dan las herramientas para que a través de la acción te conviertas en algo,
495880	497220	no para que finjas serlo.
497660	497960	Ok.
498360	500720	El diagnóstico es bastante demoledor.
500720	505080	Me deja con una sensación de, ¿estamos condenados?
505460	507160	Híjole, sí suena así, ¿verdad?
507500	513980	Sí, el problema es la arquitectura misma, la forma en que está construido todo el edificio.
514320	516060	¿Hay siquiera una salida?
516420	522340	¿O simplemente tenemos que acostumbrarnos a vivir en este basurero semántico que hemos creado?
522580	524280	Esa es la pregunta del millón.
524800	528460	Y según estas fuentes, la respuesta es que sí hay una salida.
529060	530580	Pero no es un parche.
530720	531900	No es una curita.
531900	537360	Es dinamitar el edificio y empezar de cero con un plano completamente nuevo.
538080	542100	La propuesta es una arquitectura coherencia primero.
542440	543640	Coherencia primero.
544360	544980	Suena bien.
545540	547260	Pero, ¿qué significa en la práctica?
547640	549960	Olvídate de los tuits y los posts.
549960	550820	Exacto.
550820	557040	El ladrillo fundamental de este nuevo edificio es algo que llaman el objeto semántico.
557220	557540	Ok.
557960	560760	No es una publicación que desaparece en el olvido.
561320	565280	Es una unidad de significado, persistente y con reglas.
565280	569880	Imagina que es como una ficha de Wikipedia supervitaminada.
570140	570440	Ok.
570840	571400	Me gusta.
572020	573740	¿Y cuáles son esas reglas?
574340	576320	En las fuentes hablan de tres pilares.
576940	579220	El primero es una identidad inmutable.
579880	581040	Pero eso me hace ruido.
581760	582520	Te entiendo.
583080	584260	El conocimiento cambia.
584260	585560	La ciencia avanza.
586140	590680	¿No ocurremos el riesgo de crear un sistema de dogmas digitales que no se pueden actualizar?
591400	592940	Es una objeción clave.
593540	596200	Y la respuesta está en cómo se gestiona el cambio.
597020	599480	Inmutable no significa que no puede evolucionar.
600180	601120	Ah, ok.
601540	608260	Significa que el objeto debate sobre fusión fría, 1989, siempre será ese objeto.
609020	612520	Puedes añadirle nueva evidencia, refutaciones, comentarios.
612520	617680	Pero su identidad original, su punto de partida, no se puede borrar ni alterar.
617900	620220	Es como un documento histórico, entonces.
620700	621140	Justo.
621500	623780	No puedes ir al pasado y cambiar lo que se dijo.
624140	624740	Entiendo.
625400	629160	El segundo pilar son las modalidades requeridas.
629780	634620	O sea que el sistema te obliga a presentar las cosas de cierta manera.
635260	635800	Justo.
636200	639340	Por ejemplo, el sistema puede tener una regla.
639340	650060	Si publicas una afirmación científica, es obligatorio que adjuntes el conjunto de datos que la respalda y el código que usaste para analizarlo.
650440	651400	No es opcional.
652360	652600	No.
652960	656040	No puedes lanzar una opinión al aire sin evidencia.
656500	657600	Se acaba el créme, bro.
658220	661180	La forma y el fondo están inseparablemente unidos.
661840	662500	Me encanta.
662500	669240	Y el tercero es el grafo de procedencia, que suena a algo como el blockchain, ¿no?
669500	674340	Un registro que no se puede borrar de todo lo que le ha pasado a esa idea.
674960	676280	Es exactamente eso.
676680	678640	Un historial tipo append only.
679300	681200	Solo se puede añadir, nunca borrar.
681800	685960	Cada corrección, cada debate, cada dato nuevo queda grabado para siempre.
686600	688800	Se crea un rastro de auditoría perfecto.
688800	689980	Perfecto.
690460	693940	Cualquiera puede reconstruir la historia completa de una idea.
694300	696040	Ok, la estructura es sólida.
696640	699860	Pero, ¿cómo evitas que con el tiempo todo se degrade?
700480	705760	Todos hemos visto cómo una buena idea en Internet se convierte en un desastre con el tiempo.
706660	711980	Ahí entra un concepto que suena súper técnico, pero la idea es muy intuitiva.
712440	715240	Las transformaciones con entropía acotada.
715940	717220	Presupuesto de entropía.
717220	719300	Suena a clase de física.
719680	720920	¿Qué es eso en español?
721280	723700	Piensa en el juego del teléfono descompuesto.
724320	724580	Claro.
725220	729480	La idea original se va distorsionando con cada persona que la repite.
730140	733760	Un presupuesto de entropía es como una regla que dice,
734300	736760	puedes repetir el mensaje o resumirlo,
737200	742220	pero el sistema no te va a dejar hacerlo más confuso o ambiguo de lo que ya es.
742740	743760	Te pone un límite.
743760	746860	Te frena antes de que la idea se degrade por completo.
747220	751660	La meta es conservar el significado, no dejar que se diluyan el ruido.
752060	752360	Vale.
752860	755280	La arquitectura interna tiene sentido.
755800	759080	Pero, seamos honestas, ¿cómo se usaría esto?
759640	765340	Si no tengo mi feed infinito de noticias, chismes y memes, ¿qué hago?
765860	767020	Buena pregunta.
767320	769260	Me quedo viendo una pantalla en blanco.
769580	770440	Suena aburrido.
770440	772680	Se cambia el paradigma por completo.
773280	775800	Olvida el feed infinito de Twitter o TikTok.
776580	778580	Imagina un mapa estelar de ideas.
778800	779880	¿Un mapa estelar?
779940	780240	Sí.
780740	782720	Como un Google Maps del conocimiento.
783100	785220	A ver, explícame ese mapa.
785380	789540	El concepto inteligencia artificial es una estrella brillante en ese mapa.
789540	796840	Muy cerca, en el mismo cúmulo estelar, están las estrellas redes neuronales y ética en IA.
797080	798500	Ok, relacionadas.
798660	803640	Pero la estrella recetas de cocina está en una galaxia completamente diferente.
804160	810940	Tú navegas yendo de una idea a sus vecinas conceptuales, no por lo que es más nuevo, popular o polémico.
811140	812680	Ya no es cronológico.
812680	813640	Para nada.
814060	816640	El sistema no premia el grito más fuerte.
817320	819680	Premia la conexión de ideas coherentes.
820420	823260	Ok, esto ya no es solo arreglar Facebook.
823860	827560	Esto es cambiar la forma en que descubrimos información.
828180	829940	Las implicaciones son gigantes.
830520	834280	Y las fuentes de Flyoxing lo llevan hasta el tema más candente de todos.
834780	837040	La gobernanza de la inteligencia artificial.
837840	838440	Exactamente.
838440	842500	Se argumenta que hoy cometemos un error de categoría garrafal.
842680	843000	¿Cuál?
843320	850640	Tratamos a las IAs, que son sistemas complejos, emergentes, casi como ecosistemas, como si fueran un martillo.
850860	852080	Una herramienta simple.
852340	855200	Una herramienta a la que le das una orden y obedece.
855920	860420	Y ese error nos está llevando derechito a dos posibles finales de película de terror.
860720	863560	El primer atractor es la dominación.
863740	866020	Es el escenario Skynet.
866300	872460	Una IA o un sistema centraliza tanto poder que se vuelve imparable e incontestable.
873360	874640	Nadie la puede apagar.
875320	876460	Nadie puede apagarla.
876900	878100	Nadie puede controlarla.
878700	880360	El segundo es el caos.
880740	882220	El escenario Mad Max.
882820	886040	Múltiples IAs compitiendo salvajemente entre sí.
886380	888440	Una guerra de todos contra todos.
889200	892600	Para sobrevivir, cada una ignora los costos a largo plazo.
892960	898400	El cambio climático, el colapso financiero, erosionando cualquier posibilidad de coordinación.
899360	900980	Dos caminos al desastre.
900980	907760	Y la solución que proponen no es un punto medio, sino algo que llaman el camino estrecho.
908300	908900	¿Qué es?
909300	913580	Lo crucial es que no es un equilibrio frágil que dependa de que todos se porten bien.
914140	918040	Es una región del espacio de diseño que es estable por su propia arquitectura.
918540	919140	A ver, ¿cómo?
919140	928120	Es como construir una carretera con barreras de contención tan sólidas que, aunque quieras, no te puedes salir del camino y caer al precipicio.
928960	930540	Ok, me gusta la idea.
931160	933780	Pero en la práctica, ¿cómo construyes esas barreras?
934220	936920	Las fuentes mencionan un montón de nombres raros.
937780	939060	Sphere Pub OS.
939600	941120	Polyxand Plenum Hub.
941120	943940	Sí, suenan a ciencia ficción.
944500	945760	Ayúdame a visualizarlo.
946060	950380	Si esto fuera construir esa ciudad digital segura, ¿qué sería cada cosa?
950740	951160	Claro.
951700	952440	Piénsalo así.
953000	957980	Sphere Pub serían los cimientos y el registro público de la propiedad.
958420	959180	El catastro.
959480	960160	Exacto.
960800	970900	Cada ladrillo de información que se pone en la ciudad, cada acción, queda registrada para siempre en un libro de contabilidad imborrable.
971380	973780	Ok, cimientos incorruptibles.
974040	974440	¿Qué sigue?
974940	979280	Polyxand serían las leyes de construcción y el código de urbanismo.
979840	983140	No puedes levantar un edificio simplemente porque quieres.
983780	985680	Tienes que presentar los planos.
985740	986780	Permisos y todo.
986940	989780	Y una prueba verificable de que tu edificio es seguro.
989780	993840	No le va a caer encima a los vecinos y cumple con todas las normas.
994520	999280	La acción de construir debe llevar adjunta la prueba de que es una acción legítima.
1000060	1001100	¿Y Plenum Hub?
1001300	1003040	¿Sería el gobierno de la ciudad?
1003540	1006560	Más bien el sistema de tráfico y los servicios públicos.
1007080	1015080	Es la capa que permite que todos los edificios y ciudadanos, ya sean humanos o IAS, se coordinen entre sí de forma segura y eficiente.
1015720	1016260	Sin chocar.
1016360	1019720	Sin chocar y sin que uno le robe la electricidad al otro.
1020200	1021880	Es el sustrato de coordinación.
1022200	1025460	Entonces, si lo entiendo bien, toda la filosofía cambia.
1025840	1032260	En lugar de intentar programar una IA para que sea buena y confiar en que no se va a volver malvada…
1032260	1033480	¿Qué es lo que intentamos ahora?
1033480	1039580	Simplemente creas un entorno donde las acciones malvadas son, por diseño, imposibles de ejecutar.
1039580	1040580	Exacto.
1040580	1043760	El gran problema de la alineación de la IA…
1043760	1046280	Deja de ser un problema de psicología de robots.
1046460	1047980	Ya no es un tema moral.
1047980	1065680	Ya no intentas meterle una brújula moral a la IA. La alineación se vuelve una propiedad del entorno. Construyes un ecosistema donde una acción, como, por ejemplo, vaciar la cuenta de banco de una persona sin su permiso, ni siquiera puede ser procesada por el sistema.
1066000	1066360	¿Por qué?
1066580	1072100	Porque es incapaz de presentar la prueba de consentimiento requerida. El sistema la rechaza de entrada.
1072100	1078720	El significado y las reglas no se buscan o se esperan, sino que se conservan por diseño.
1079020	1084220	No se optimizan hasta existir. Se conservan por diseño. Esa es la frase clave.
1084740	1099600	¡Qué locura de viaje! Empezamos con la melancolía de encontrar una página de Facebook abandonada y terminamos en una reconstrucción total de la arquitectiva digital para gobernar la inteligencia artificial.
1100000	1101020	Un salto cuántico.
1101020	1115680	La conclusión que me llevo es que esa frustración que sentimos en línea, ese vacío, no es porque seamos malos usuarios. Es que el juego está amañado desde el principio por un mal diseño.
1116240	1128760	Y eso nos deja con una idea final para darle vueltas. Las fuentes argumentan que para resolver problemas tan complejos, no basta con tener mejores intenciones o pedirle a las empresas que sean más éticos.
1128760	1143500	No es suficiente. El cambio real viene de un giro de tuerca. Dejar de optimizar resultados a toda costa y empezar a restringir procesos de forma inteligente. Poner las reglas antes de jugar.
1143500	1157100	La propuesta es que sólo imponiendo límites estructurales, como esos presupuestos de entropía, las pruebas de cumplimiento o el consentimiento explícito, puede el significado sobrevivir a la presión brutal de la optimización.
1157100	1160320	Y la pregunta que queda en el aire es...
1160320	1173940	¿Qué pasaría si aplicáramos este principio de conservación por diseño a otros sistemas complejos, como nuestras economías, nuestras democracias o la forma en que gestionamos el planeta?
1173940	1193960	¿Qué pasaría si aplicaste?
